index,sentence,label,pred_label
0,The case of the missing @TREAT$.,1,1
1,Perceived contraindications to @TREAT$ in @DIS$.,3,3
2,OBJECTIVE : To investigate phenotypic characteristics of families potentially linked to the hereditary prostate cancer 1 ( HPC1 ) locus on chromosome 1q24-25.,0,0
3,Pharmaceutical industry is invited to respond to amnesty for unreported trials.,0,0
4,5-year outcome of @TREAT$ and watchful waiting for men with moderately symptomatic @DIS$ : a Department of Veterans Affairs cooperative study.,3,3
5,"depending on the outcome of numerous ongoing clinical trials, @TREAT$ may eventually find broader clinical applications, both as a cytoprotectant and as a potential therapy in @DIS$.",3,3
6,An amperometric lactate oxidase catheter has been developed for in vivo application to real-time lactate monitoring.,0,0
7,hominis present and stool characteristics.,0,0
8,New approaches to @DIS$ require immediate action.,1,1
9,RESULTS : The crude incidence rate was estimated to be 30.7 per 100000 ( 95 % confidence interval 27.1-34.4 ) and the standardised rate was 68 per 100000.,0,0
10,Re : Friday afternoon @TREAT$ : are Fridays good for your health?,1,1
11,"Although long-term survival can be achieved by successful @TREAT$, the associated structural defects such as @DIS$ and severe @DIS$ or @DIS$, as seen in our patient, can influence the patient 's quality of life.",1,3
12,"@DIS$ was one of the most common opportunistic infections in AIDS patients, leading to blindness or life-threatening disease in about 40 % of patients in the later stages of AIDS before @TREAT$.",3,3
13,object : the purpose of this retrospective study was to compare the effectiveness of @TREAT$ for @DIS$ with that of @TREAT$.,3,3
14,An increase in the SDS concentration reduces the number of different species present in micelles.,0,0
15,Twenty-four patients with @DIS$ and 24 control subjects between the ages of 4 and 12 yr were enrolled in this study.,1,1
16,Early and long-term results of rehabilitation of @TREAT$ patients ),1,1
17,"Tobias, Radiat.",0,0
18,A patient suffering @DIS$ successfully treated with @TREAT$ is reported.,3,3
19,"METHODS : The effect of @TREAT$ was assessed in a double-blind, randomised, prospective, multicentre, parallel-group, placebo-controlled pilot study of 202 patients with @DIS$ or @DIS$.",3,3
20,@TREAT$ for @DIS$.,3,3
21,Weekly clinicopathological exercises.,0,0
22,Evidence of a new susceptibility locus in Caucasian and Chinese patients.,0,0
23,Res.,0,0
24,This improvement may be related to an increase in neutrophil superoxide production.,0,0
25,Drug information questions and answers : new for @DIS$ : @TREAT$.,3,3
26,Persisting odours as a biasing factor in open-field research with mice.,0,0
27,Factors affecting uptake of antenatal HIV testing in London : results of a multicentre study.,0,0
28,"As there have been few reports of the obstetrical care of affected patients, we wish to document two pregnancies in a woman with a @DIS$.",1,1
29,Two actions are possible for doctors wanting to promote human welfare in Africa.,0,0
30,Relationship between @TREAT$ systemic exposure and tumor response in human @DIS$.,1,3
31,Is @TREAT$ for @DIS$ preferable to @TREAT$? An economic analysis.,3,3
32,Ellipsometry measurements of oxygen plasma exposed antibody layers indicated complete removal of immobilized antibodies.,0,0
33,The protective effect of @TREAT$ and @TREAT$ against @DIS$.,2,2
34,Neuropeptides in Development and Aging.,0,0
35,@TREAT$ is safe in recommended doses,1,1
36,we conclude that for patients with @DIS$ treated with @TREAT$ : ( a ) the pattern of systemic relapse changes according to the efficacy of the protocol of chemotherapy used.,3,3
37,@TREAT$ for @DIS$.,3,3
38,"@DIS$, reduced Quick value.",1,1
39,Ultrastructure of human colostral cells.,0,0
40,Simultaneous measurement of stiffness and energy absorptive properties of articular cartilage and subchondral trabecular bone.,0,0
41,Application to a novel tin derivative of erythromycin A.,0,0
42,Usefulness of @TREAT$ in patients with @DIS$ -- a prospective randomised study.,3,3
43,"The study involved 117 infants ( mean age 2.6 months ), who needed @TREAT$ because of @DIS$.",3,3
44,@TREAT$ in the management of @DIS$.,3,3
45,Retrospective comparison of techniques to prevent @DIS$ after posterior chamber intraocular @TREAT$ in infants and children.,4,2
46,Joint Commission on Accreditation of Healthcare Organizations ' infection control requirements : fact or fiction?,0,0
47,Binding of sulfobromophthalein ( BSP ) sodium by plasma albumin.,0,0
48,Independent occurrence of the novel Arg2163 to His mutation in the factor VIII gene in three unrelated families with @DIS$ with different phenotypes.,1,1
49,"@DIS$, tobacco smoking and environmental factors in Denmark",1,1
50,EU Working Group on Tobacco and Oral Health Consensus Meeting.,0,0
51,Patients were followed up for a maximum of 33 months ( median 14 months ).,0,0
52,Topical dictionary,0,0
53,OBJECTIVE : To identify additional genetic risk factors for late-onset AD.,0,0
54,"Substantial evidence indicates that intakes greater than the recommended dietary allowances ( RDAs ) of certain vitamins and minerals such as calcium, folic acid, vitamin E, selenium, and chromium reduce the risk of certain diseases for some people.",0,0
55,A review of the fetal-maternal carboxyhemoglobin relationships and the differences in fetal oxyhemoglobin physiology are used to explain the recommendation that pregnant women with @DIS$ should receive 100 % @TREAT$ for up to five times longer than is otherwise necessary.,3,3
56,@TREAT$ in the treatment of @DIS$ : sequential prospective study.,3,3
57,Sports-related @DIS$.,1,1
58,The light of the profession.,0,0
59,Evidence for double resistance to @TREAT$ in @DIS$.,5,3
60,"The guide situates general internal medicine as the primary care profession that focuses on preventive, short-term, and long-term care of adult patients.",0,0
61,"@TREAT$ and @TREAT$ successfully eradicated @DIS$ in 16 of 27 patients ( 59 % ), 23 patients of which had been treated previously with high-dose @TREAT$.",3,3
62,Reconstruction of thoracic wall defects after @DIS$ @TREAT$ using a polytetrafluoroethylene soft tissue ( Gore-Tex ) patch.,3,3
63,"New diagnostic criteria lowered the cut off value to 126 mg/dl, in order to detect more rapidly @DIS$ and its complications.",1,1
64,"The subjects were matched for age, ethnicity, parity, and gestational age.",0,0
65,@DIS$ types 52 and 58 are prevalent in @DIS$ from Chinese women.,1,1
66,We assessed @TREAT$ as adjuvant therapy for the treatment of @DIS$.,3,3
67,"METHODS : In 398 hospitals, 7169 patients with @DIS$ were randomly assigned to weight-adjusted, accelerated infusion of 100 mg of @TREAT$ or to a bolus of 50 mg of @TREAT$ over a period of 1 to 3 minutes followed 30 minutes later by a second bolus of 50 mg ( or 40 mg for patients who weighed less than 60 kg ).",3,3
68,The trial was stopped prematurely because of concern about the safety of the @TREAT$.,1,1
69,Randomised placebo-controlled trial of @TREAT$ in @DIS$.,3,3
70,Prolonged use of @TREAT$ in @DIS$ in pregnancy.,3,3
71,Toward a community alcoholism program.,0,0
72,@DIS$ associated with @TREAT$.,4,4
73,Recombinant and natural forms of @TREAT$ have been shown to bring about tumor regressions in patients with @DIS$.,3,3
74,The recombinant fusion protein binds calcium when assayed with 45Ca.,0,0
75,American Academy of Child and Adolescent Psychiatry.,0,0
76,Mutations in brief no.,0,0
77,The place of @TREAT$ in @DIS$.,3,3
78,A specialist nurse can replace pre-registration house officers in the surgical pre-admission clinic.,0,0
79,404.,0,0
80,Optimal detection of weak nJ ( 1H- 119Sn ) couplings by gradient-enhanced 1D and 2D heteronuclear multiple-quantum correlation spectroscopy.,0,0
81,Thalidomide in oral Crohn 's disease refractory to conventional medical treatment.,0,0
82,The Ropinirole Study Group.,0,0
83,"MAIN OUTCOME MEASURES : The families were divided into 2 groups : either potentially linked ( 33 families with 133 men with @DIS$ ), and thus likely to be carrying an altered HPC1 gene, or potentially unlinked ( 41 families with 172 men with @DIS$ ), on the basis of haplotype analysis in the region of HPC1.",1,1
84,Limitations of diagnostic criteria and assessment instruments for @DIS$.,1,1
85,"@TREAT$ performed well and safe, in the treatment of @DIS$.",3,3
86,II.,0,0
87,Cyclin D1 overexpression in @DIS$.,1,1
88,Doctors -- we need you.,0,0
89,conclusions : this constitutes one of the largest single-institution reports on @TREAT$ for @DIS$.,3,3
